#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
robby;The Adventures of Robby Roto!;MAME;;1981;Dave Nutting Associates / Bally Midway;;2;0;joystick (4-way),joystick (4-way);good;1;raster;;;;1;;;;
alienar;Alien Arena;MAME;;1985;Duncan Brown;;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;2;;;;
carpolo;Car Polo;MAME;;1977;Exidy;;4;0;dial,dial,dial,dial;preliminary;1;raster;;;;3;;;;
circus;Circus / Acrobat TV;MAME;;1977;Exidy / Taito;;1;0;paddle;imperfect;1;raster;;;;;;;;
crash;Crash;MAME;;1979;Exidy;;1;0;joystick (4-way);imperfect;1;raster;;;;1;;;;
fax;FAX;MAME;;1983;Exidy;;2;0;only_buttons,only_buttons;good;1;raster;;;;4;;;;
fax2;FAX 2;MAME;fax;1983;Exidy;;2;0;only_buttons,only_buttons;good;1;raster;fax;;;4;;;;
falcnwlda;Falcons Wild - World Wide Poker (Video Klein, set 1);MAME;falcnwld;1990;Video Klein;;1;0;gambling;good;1;raster;falcnwld;;;14;;;;
falcnwldb;Falcons Wild - World Wide Poker (Video Klein, set 2);MAME;falcnwld;1990;Video Klein;;1;0;gambling;good;1;raster;falcnwld;;;14;;;;
fireone;Fire One;MAME;;1979;Exidy;;2;0;paddle,paddle;good;1;raster;;;;2;;;;
gridlee;Gridlee;MAME;;1983;Videa;;2;0;trackball,trackball;imperfect;1;raster;;;;1;;;;
hardhat;Hard Hat;MAME;;1982;Exidy;;1;0;joystick (4-way);good;1;raster;;;;1;;;;
witchjol;Jolli Witch (Export, 6T/12T ver 1.57D);MAME;;1994;Video Klein;;1;0;gambling;good;1;raster;;;;20;;;;
looping;Looping;MAME;;1982;Video Games GmbH;;2;90;joystick (vertical2-way),joystick (vertical2-way);imperfect;1;raster;;;;2;;;;
ripcord;Rip Cord;MAME;;1979;Exidy;;1;0;paddle;imperfect;1;raster;;;;2;;;;
robotbwl;Robot Bowl;MAME;;1977;Exidy;;1;0;joystick (2-way);imperfect;1;raster;;;;2;;;;
sidetrac;Side Trak;MAME;;1979;Exidy;;1;0;joystick (4-way);imperfect;1;raster;;;;1;;;;
spectar;Spectar (revision 3);MAME;;1980;Exidy;;1;0;joystick (4-way);imperfect;1;raster;;;;1;;;;
starfire;Star Fire (set 1);MAME;;1979;Exidy;;1;0;joystick (analog);good;1;raster;;;;1;;;;
starfir2;Star Fire 2;MAME;;1979;Exidy;;1;0;joystick (analog);good;1;raster;;;;1;;;;
supertnk;Super Tank;MAME;;1981;Video Games GmbH;;2;90;joystick (8-way),joystick (8-way);good;1;raster;;;;1;;;;
targ;Targ;MAME;;1980;Exidy;;1;0;joystick (4-way);imperfect;1;raster;;;;1;;;;
